,Tran,Item,Qty,UnitPrice
0,1,Milk,1,2.35
1,1,Cereal,2,7.95
2,1,Sugar,2,2.89
3,1,Bread,4,2.45
4,1,Eggs,1,1.88
5,1,Yogurt,4,2.45
6,2,Butter,3,3.95
7,2,Cereal,1,7.95
8,2,Sugar,4,2.89
9,2,Bread,3,2.45
10,2,Eggs,3,1.88
11,2,Yogurt,2,2.45
12,3,Milk,4,2.35
13,3,Apple,3,1.89
14,3,Bread,1,2.45
15,3,Eggs,3,1.88
16,4,Milk,1,2.35
17,4,Butter,3,3.95
18,4,Corn,2,3.31
19,4,Bread,4,2.45
20,4,Yogurt,3,2.45
21,5,Corn,1,3.31
22,5,Cereal,3,7.95
23,5,Sugar,4,2.89
24,5,Bread,2,2.45
25,5,Ice cream,4,4.5
26,5,Eggs,1,1.88
27,6,Milk,1,2.35
28,6,Sugar,1,2.89
29,6,Bread,3,2.45
30,6,Ice cream,1,4.5
31,6,Eggs,2,1.88
32,7,Milk,3,2.35
33,7,Yogurt,3,2.45
34,7,Bread,3,2.45
35,7,Ice cream,4,4.5
36,7,Apple,2,1.89
